stdio    D E:\LIBS\LIBS71Build\allegro\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Dropbox\Programs\SwiftForth_3.5.3\SwiftForth\bin\allegro5.cfg r
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\user32.dll
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\user32.dll
system   I E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\user32.dll
system   I E:\LIBS\LIBS71Build\allegro\src\system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.3 (GIT)
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:392  win_get_joystick_driver          [   0.00040] Selected combined XInput/DirectInput joystick driver.
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00066] PathFindOnPath found: C:\WINDOWS\system32\xinput1_4.dll
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:682  load_library_at_path             [   0.00068] Calling LoadLibrary C:\WINDOWS\system32\xinput1_4.dll
system   I E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:685  load_library_at_path             [   0.00168] Loaded C:\WINDOWS\system32\xinput1_4.dll
xinput   I E:\LIBS\LIBS71Build\allegro\src\win\wjoyxi.c:214  _imp_load_xinput_module_version  [   0.00174] Module "xinput1_4.dll" loaded.
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00240] PathFindOnPath found: C:\WINDOWS\system32\dinput8.dll
system   D E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:682  load_library_at_path             [   0.00242] Calling LoadLibrary C:\WINDOWS\system32\dinput8.dll
system   I E:\LIBS\LIBS71Build\allegro\src\win\wsystem.c:685  load_library_at_path             [   0.00316] Loaded C:\WINDOWS\system32\dinput8.dll
dinput   I E:\LIBS\LIBS71Build\allegro\src\win\wjoydxnu.cpp:1107 joydx_merge                      [   0.12821] Merged, num joysticks=0
